Name,NGC,Oost Type,Source,Notes
M3,NGC 5272,I,"Braga, 2016",
M5,NGC 5904,I,"Braga, 2016",
M4,NGC 6121,I,"Braga, 2016",
,NGC 6229,I,"Braga, 2016",
,NGC 6362,I,"Braga, 2016",
M72,NGC 6981,I,"Braga, 2016",
,IC 4499,Oo-Int,"Braga, 2016",
,NGC 3201,Oo-Int,"Braga, 2016",
M54,NGC 6715,Oo-Int,"Braga, 2016",
,NGC 6934,Oo-Int,"Braga, 2016",
,NGC 7006,Oo-Int,"Braga, 2016",
M68,NGC 4590,II,"Braga, 2016",
M53,NGC 5024,II,"Braga, 2016",
,NGC 5286,II,"Braga, 2016",
M15,NGC 7078,II,"Braga, 2016",
,NGC 6388,III,"Braga, 2016",
,NGC 6441,III,"Braga, 2016",
,NGC 6388,III,"Sollima, 2014",
,NGC 6441,III,"Sollima, 2014",
,NGC 6229,I,"Sollima, 2014",
M72,NGC 6981,I,"Sollima, 2014",
,NGC 6584,I,"Sollima, 2014",
M3,NGC 5272,I,"Sollima, 2014",
,NGC 3201,I,"Sollima, 2014",
,NGC 6934,I,"Sollima, 2014",
,IC 4499,I,"Sollima, 2014",
M2,NGC 7089,II,"Sollima, 2014",
M22,NGC 6656,II,"Sollima, 2014",
,NGC 5286,II,"Sollima, 2014",
,NGC 4833,II,"Sollima, 2014",
,NGC 1466,Oo-Int,"Sollima, 2014",
,F2,I,"Sollima, 2014",
,F3,Oo-Int,"Sollima, 2014",
,F4,Oo-Int,"Sollima, 2014",
,NGC 6441,III,"Jang, 2015",
,NGC 6388,III,"Jang, 2015",
,NGC 1466,Oo-Int,"Kuehn, 2013",
,NGC 2210,Oo-Int,"Kuehn, 2013",
M3,NGC 5272,I,"Kuehn, 2013",
M15,NGC 7078,II,"Kuehn, 2013",
M75,NGC 6864,Oo-Int,"Kuehn, 2013",
M75,NGC 6864,Oo-Int,"Corwin, 2003",
,NGC 362,I,"Székely, 2007",
,NGC 2419,II,"Di Criscienzo, 2011",
,NGC 1835,Oo-Int,"Clementini, 2004",
M15,NGC 7078,II,"Clementini, 2004",
M68,NGC 4590,II,"Clementini, 2004",
,IC 4499,I,"Clement, 1991",
M3,NGC 5272,I,"Clement, 1991",
M68,NGC 4590,II,"Clement, 1991",
,NGC 2419,II,"Clement, 1991",
M15,NGC 7078,II,"Clement, 1991",
,NGC 6426,II,"Clement, 1991",
M3,NGC 5272,I,"Smolec, 2017",
,NGC 6362,I,"Smolec, 2017",
Omega Centauri,NGC 5139,II,"Smolec, 2017",
M62,NGC 6266,I,"Contreras, 2010",
M15,NGC 7078,II,"Contreras, 2010",
,NGC 6362,I,"Contreras, 2010",
M107,NGC 6171,I,"Contreras, 2010",
M5,NGC 5904,I,"Contreras, 2010",
,NGC 6229,I,"Contreras, 2010",
,NGC 6934,I,"Contreras, 2010",
M3,NGC 5272,I,"Contreras, 2010",
M2,NGC 7089,II,"Contreras, 2010",
,NGC 5286,II,"Contreras, 2010",
M55,NGC 6809,II,"Contreras, 2010",
,NGC 4147,I,"Contreras, 2010",
,NGC 2298,II,"Contreras, 2010",
M68,NGC 4590,II,"Contreras, 2010",
M92,NGC 6341,II,"Contreras, 2010",
M9,NGC 6333,II,"Arellano Ferro, 2013",
M53,NGC 5024,II,"Arellano Ferro, 2013",
M15,NGC 7078,II,"Arellano Ferro, 2013",
M68,NGC 4590,II,"Arellano Ferro, 2013",
,NGC 6388,III,"Arellano Ferro, 2017",
,NGC 6441,III,"Arellano Ferro, 2017",
,NGC 1851,I,"Arellano Ferro, 2017",
,NGC 3201,I,"Arellano Ferro, 2017",
,NGC 4147,I,"Arellano Ferro, 2017",
M3,NGC 5272,I,"Arellano Ferro, 2017",
M5,NGC 5904,I,"Arellano Ferro, 2017",
M107,NGC 6171,I,"Arellano Ferro, 2017",
,NGC 6229,I,"Arellano Ferro, 2017",
,NGC 6362,I,"Arellano Ferro, 2017",
,NGC 6366,I,"Arellano Ferro, 2017",
,NGC 6934,I,"Arellano Ferro, 2017",
M72,NGC 6981,I,"Arellano Ferro, 2017",
,NGC 288,II,"Arellano Ferro, 2017",
M79,NGC 1904,II,"Arellano Ferro, 2017",
M68,NGC 4590,II,"Arellano Ferro, 2017",
M53,NGC 5024,II,"Arellano Ferro, 2017",
,NGC 5053,II,"Arellano Ferro, 2017",
,NGC 5466,II,"Arellano Ferro, 2017",
M9,NGC 6333,II,"Arellano Ferro, 2017",
M92,NGC 6341,II,"Arellano Ferro, 2017",
M15,NGC 7078,II,"Arellano Ferro, 2017",
M2,NGC 7089,II,"Arellano Ferro, 2017",
M30,NGC 7099,II,"Arellano Ferro, 2017",
,NGC 7492,II,"Arellano Ferro, 2017",
M3,NGC 5272,I,"Jeffery, 2011",
M15,NGC 7078,II,"Stetson, 2014",
M68,NGC 4590,II,"Stetson, 2014",
M22,NGC 6656,II,"Stetson, 2014",
,NGC 3201,I,"Stetson, 2014",
,NGC 1851,I,"Stetson, 2014",
,NGC 4147,I,"Stetson, 2014",
M54,NGC 6715,I,"Stetson, 2014",This and M4 could be Oo-Int depending on the classification diagnostic
M4,NGC 6121,Oo-Neutral,"Stetson, 2014",
M5,NGC 5904,Oo-Neutral,"Stetson, 2014",
M9,NGC 6333,II,"Clement, 2001",
M68,NGC 4590,II,"Clement, 2001",
M55,NGC 6809,II,"Clement, 2001",
,NGC 6426,II,"Clement, 2001",
M2,NGC 7089,II,"Clement, 2001",
M53,NGC 5024,II,"Clement, 2001",
M92,NGC 6341,II,"Clement, 2001",
M15,NGC 7078,II,"Clement, 2001",
M3,NGC 5272,I,"Clement, 2001",
M107,NGC 6171,I,"Clement, 2001",
M5,NGC 5904,I,"Clement, 2001",
,NGC 6229,I,"Clement, 2001",
M15,NGC 7078,II,"Jang, 2014",
M3,NGC 5272,I,"Jang, 2014",
M68,NGC 4590,II,"Jang, 2014",
,NGC 5053,II,"Jang, 2014",
,NGC 5466,II,"Jang, 2014",
,NGC 6441,III,"Jang, 2014",
,NGC 1851,I,"Kunder, 2013",
,NGC 362,I,"Kunder, 2013",
,NGC 3201,I,"Kunder, 2013",
M68,NGC 4590,II,"Kunder, 2013",
,IC 4499,I,"Kunder, 2013",
Rup 106,Ruprecht 106,I,"Kunder, 2013",
,NGC 5053,II,"Kunder, 2013",
,NGC 6934,I,"Kunder, 2013",
M72,NGC 6981,I,"Kunder, 2013",
,NGC 7006,I,"Kunder, 2013",
M15,NGC 7078,II,"Kunder, 2013",
Omega Centauri,NGC 5139,II,"Kunder, 2013",
M3,NGC 5272,I,"Kunder, 2013",
,NGC 5466,II,"Kunder, 2013",
,NGC 6229,I,"Kunder, 2013",
,NGC 6426,II,"Kunder, 2013",
,NGC 6441,III,"Kunder, 2013",
,NGC 6388,III,"Kunder, 2013",
M62,NGC 6266,I,"Kunder, 2013",
M9,NGC 6333,II,"Kunder, 2013",
M92,NGC 6341,II,"Kunder, 2013",
,NGC 6362,I,"Kunder, 2013",
M28,NGC 6626,I,"Kunder, 2013",
M5,NGC 5904,I,"Kunder, 2013",
,NGC 5986,II,"Kunder, 2013",
M4,NGC 6121,I,"Kunder, 2013",
M107,NGC 6171,I,"Kunder, 2013",
,NGC 6712,I,"Kunder, 2013",
,NGC 6723,I,"Kunder, 2013",
M75,NGC 6864,I,"Kunder, 2013",
M53,NGC 5024,II,"Kunder, 2013",
M2,NGC 7089,II,"Kunder, 2013",
,NGC 2419,II,"Kunder, 2013",
,NGC 1851,I,"Kunder, 2013",
,NGC 5286,II,"Kunder, 2013",
,NGC 2808,I,"Kunder, 2013",
,NGC 4147,I,"Kunder, 2013",
M55,NGC 6809,I,"Kunder, 2013",
M54,NGC 6715,I,"Kunder, 2013",
M79,NGC 1904,II,"Kunder, 2013",
M3,NGC 5272,I,"Pritzl, 2000",
M15,NGC 7078,II,"Pritzl, 2000",
M3,NGC 5272,I,"Kinemuchi, 2006",
Omega Centauri,NGC 5139,II,"Kinemuchi, 2006",